Arabic Number,Text,source
١,جمهورية مصر العربية دولة ذات سيادة» موحدة لا تقبل التجزئة. ولا ينزل عن شئ منهاء نظامها جمهورى ديمقراطى؛ يقوم على أساس المواطنة وسيادة القانون. الشعب المصرى جزء من الأمة العربية يعمل على تكاملها ووحدتهاء ومصر جزء من العالم الإسلامى» تنتمى إلى القارة الإفريقية؛,constitution
٢,الإسلام دين الدولة» واللغة العربية لغتها الرسمية» ومبادئ الشريعة الإسلامية المصدر الرئيسى للتشريع.,constitution
٣,مبادئ شرائع المصريين من المسيحيين واليهود المصدر الرئيسى للتشريعات المنظمة لأحوالهم الشخصية» وشئونهم الدينية» واختيار قياداتهم الروحية.,constitution
٤,السيادة للشعب وحده؛ يمارسها ويحميهاء وهو مصدر السلطات» ويصون وحدته الوطنية التى تقوم على مبادئ المساواة والعدل وتكافؤ الفرص بين جميع المواطنين» وذلك على الوجه المبين فى الدستور. -6- ===== Page 13 ===== دستور جمهورية مصر العربية الباب الأول: الدولة,constitution
٥,يقوم النظام السياسي على أساس التعددية السياسية والحزبية. المسئولية مع السلطة» واحترام حقوق الإنسان وحرياته. على الوجه المبين فى الدستور.,constitution
٦,القانوني به ومنحه أوراقاً رسمية تثبت بياناته الشخصية؛» حق يكفله القانون وينظمه. يحدد القانون شروط اكتساب الجنسية. -7- ===== Page 14 ===== دستور جمهورية مصر العربية الباب الثانى المقومات الأساسية للمجتمع الفصل الأول المقومات الاجتماعية,constitution
٧,الأزهر الشريف هيئة إسلامية علمية مستقلة؛ يختص دون غيره بالقيام على كافة شئونه» وهو المرجع الأساسى فى العلوم الدينية والشئون الإسلامية» ويتولى مسئولية الدعوة ونشر علوم الدين واللغة العربية فى مصر والعالم. وتلتزم الدولة بتوفير الاعتمادات المالية الكافية لتحقيق أغراضه. وشيخ الأزهر مستقل غير قابل للعزل؛ وينظم القانون طريقة اختياره من بين أعضاء هيئة كبار العلماء.,constitution
٨,يقوم المجتمع على التضامن الاجتماعى. وتلتزم الدولة بتحقيق العدالة الاجتماعية وتوفير سبل التكافل الاجتماعى» بما يضمن الحياة الكريمة لجميع المواطنين» على النحو الذى ينظمه القانون.,constitution
٩,تلتزم الدولة بتحقيق تكافؤ الفرص بين جميع المواطنين» دون تمييز. -8- ===== Page 15 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الأول: المقومات الاجتماعية,constitution
١٠,الأسرة أساس المجتمعء قوامها الدين والأخلاق والوطنية» وتحرص الدولة على تماسكها واستقرارها وترسيخ قيمها.,constitution
١١,تكفل الدولة تحقيق المساواة بين المرأة والرجل في جميع الحقوق المدنية والسياسية والاقتصادية والاجتماعية والثقافية وفقا لأحكام الدستور. وتعمل الدولة على اتخاذ التدابير الكفيلة بضمان تمثيل المرأة تمثيلآ مناسبا في المجالس النيابية» على النحو الذى يحدده القانون» كما تكفل للمرأة حقها فى تولى الوظائف العامة ووظائف الإدارة العليا في الدولة والتعيين فى الجهات والهيئات القضائية» دون تمييز ضدها. وتلتزم الدولة بحماية المرأة ضد كل أشكال العنفء. وتكفل تمكين المرأة من التوفيق بين واجبات الأسرة ومتطلبات العمل. كما تلتزم بتوفير الرعاية والحماية للأمومة والطفولة والمرأة المعيلة والمسنة والنساء الأشد احتياجا.,constitution
١٢,العمل حقء. وواجبء؛ وشرف تكفله الدولة. ولا يجوز إلزام أى مواطن بالعمل جبراًء إلا بمقتضى قانون» ولأداء خدمة عامة» لمدة محددة» وبمقابل عادل» ودون إخلال بالحقوق الأساسية للمكلفين بالعمل. -9- ===== Page 16 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الأول: المقومات الاجتماعية,constitution
١٣,تلتزم الدولة بالحفاظ على حقوق العمال» وتعمل على بناء علاقات الجماعى» وتعمل على حماية العمال من مخاطر العمل وتوافر شروط النحو الذى ينظمه القانون.,constitution
١٤,الوظائف العامة حق للمواطنين على أساس الكفاءة» ودون محاباة أو وساطة. ود تكليف للقائمين بها لخدمة ال لشعب» وتكفل الدولة حقوقهم وحمايتهم؛ وقيامهم بأداء واجباتهم فى رعاية مصالح الشعبء ولا يجوز فصلهم بغير الطريق التأديبى» إلا فى الأحوال التى يحددها القانون.,constitution
١٥,الإضراب السلمي حق ينظمه القانون.,constitution
١٦,"تلتزم الدولة بتكريم شهداء الوطن» ورعاية مصابى الثورة. والمحاربين القدماء والمصابين» وأسر المفقودين فى الحرب وما فى حكمهاء ومصابى العمليات الأمنية. وأزواجهم وأولادهم ووالديهم, وتعمل على توفير فرص العمل لهمء وذلك على النحو الذى ينظمه القانون. وتشجع الدولة مساهمة منظمات المجتمع المدنى فى تحقيق هذه الأهداف. - 10 - ===== Page 17 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الأول: المقومات الاجتماعية",constitution
